,geo,tweet,user_handle,location,cleaned_tweets
0,,RT @YWCAUSA: Let your legislator know how important nonprofits are as we stand on the frontlines of the pandemic addressing critical needs…,DocantoLicy,"Washington, DC", let your legislator know how impoant nonprofits are as we stand on the frontlines of the pandemic addressing critical needs
1,,"RT @TristanCorkPost: Other shoppers 'stormed' into Tesco during the NHS hour this morning at a store in Bristol.
""I'm disgusted by the huma…",dyan_deen,, other shoppers stormed into tesco during the nhs hour this morning at a store in bristol i m disgusted by the huma
2,,RT @vtdigger: Substance abuse treatment providers and recovery centers around Vermont are offering over-the-phone services and video sessio…,suptmoran,, substance abuse treatment providers and recovery centers around vermont are offering over the phone services and video sessio
3,,"RT @ACLU: Congress must act now to ensure the safety of both our democracy and America. 

No one should have to choose between protecting t…",JenPetterson,Planet 🌍 Earth, congress must act now to ensure the safety of both our democracy and america no one should have to choose between protecting t
4,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,afro_rriquena,"Manhattan, NY", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
5,,"RT @ggreenwald: On the left: Brazil's largest paper, @Folha, having to send an alert urging people to stop buying hydroxychloroquine after…",themeanseasons,, on the left brazil s largest paper having to send an ale urging people to stop buying hydroxychloroquine after
6,,"RT @wsly_dzr: Me waking up every morning with no covid-19 symptoms
 https://t.co/MOss5RdXof",kgviix,TX, dzr me waking up every morning with no covid symptoms
7,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,paulknipe,"Boulder, CO.", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
8,,RT @profwolff: Failure to produce &amp; stockpile virus-fighting equipment (by manufacturers &amp; by gov't regulators) reflects profit concerns &amp;…,lindhays,"Montana, USA", failure to produce stockpile virus fighting equipment by manufacturers by gov t regulators reflects profit concerns
9,,when your timeline has been nothing but ACNH and COVID-19 for the past 3 days https://t.co/zm2KhpNJlQ,angrybird16755,lurking near sacramento,when your timeline has been nothing but acnh and covid for the past days
10,,"RT @Gitanjali_DS: #China's days are numbered. 

Once this #Corona shit gets over, world fraternity will surely teach a good lesson to china…",piyushb58478636,, ds china s days are numbered once this corona shit gets over world fraternity will surely teach a good lesson to china
11,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,zaydenziidon,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
12,,"RT @ssaig: The first recovered COVID-19 patient in the province of Modena (Italy), a 95 yr old grandmother 

Some positive news amidst the…",MaSbhene_27462,Mtubatuba KwaZulu-Natal, the first recovered covid patient in the province of modena italy a yr old grandmother some positive news amidst the
13,,RT @ChrisMurphyCT: A functional President would use emergency powers to organize a massive production and distribution system for the new 4…,1234periwinkle,"Eugene, OR", a functional president would use emergency powers to organize a massive production and distribution system for the new
