,geo,tweet,user_handle,location,cleaned_tweets
0,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",mmmmaybachmusik,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
1,,"RT @UNOCHA: 🚨 MEDIA ALERT

@antonioguterres @UNReliefChief @DrTedros @unicefchief will virtually launch the #COVID19 Global Humanitarian Re…",UNinSyria,Syria, media ale will viually launch the covid global humanitarian re
2,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,Dorli28,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
3,,COVID-19: Union Bank Activates Remote Working For Employees https://t.co/jM6Nx1TI5Y https://t.co/OtAMib1WH4,tcpmultimedia,,covid union bank activates remote working for employees
4,,via @PerilofAfrica  Russian Fitness Model Draws Ire After Making Swimsuit of Medicinal Masks Amid COVID-19 Pandemic… https://t.co/AdVht0dnrS,mlnangalama,"New Brunswick, Canada",via russian fitness model draws ire after making swimsuit of medicinal masks amid covid pandemic
5,,"RT @BBCPolitics: ""We have to take the fight to the virus""

Dr Michael Ryan, Executive Director at the World Health Organisation, on how #Co…",RinaeSami,, we have to take the fight to the virus dr michael ryan executive director at the world health organisation on how co
6,,"RT @RealSushilS: I pledge contribution of INR 50000 to fight COVID-19 in India.  Eager to hear from government on my request below.

@repub…",vire_verma,New Delhi, i pledge contribution of inr to fight covid in india eager to hear from government on my request below
7,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,lozanoDIXIE,Kansas 🌪🌻🌾, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
8,,RT @CapitalCurrent: #COVID19outbreak update for March 22: The PM said Parliament would reconvene on Tuesday to pass… https://t.co/4DCyrQxFl4,capnewsonline,Ottawa, covid outbreak update for march the pm said parliament would reconvene on tuesday to pass
9,,"I just wrote a @tenantstogether letter: Newsom, Enact Statewide Moratoriums and Protections during the Coronavirus… https://t.co/eUZy0KwepL",ZachWNorris,"Oakland, CA",i just wrote a letter newsom enact statewide moratoriums and protections during the coronavirus
10,,RT @mkraju: Rand Paul has tested positive for the coronavirus. “Senator Rand Paul has tested positive for COVID-19. He is feeling fine and…,messi1_ali,, rand paul has tested positive for the coronavirus senator rand paul has tested positive for covid he is feeling fine and
11,,RT @Egbert_PengWu: @DHSCgovuk @CMO_England @PHE_uk @NHSEngland @NHSuk @CathCalderwood1 @scotgovhealth @CMOWales @PublicHealthW @publichealt…,lanresegilola,"London, England", pengwu england uk
12,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,chaslutz,nyc, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
13,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,wickedViks,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
14,,"RT @kurteichenwald: Why Americans will cause one of the  worst COVID-19 outbreaks.

A. A vast majority are self-centered and ignorant, beli…",lumtweet,"Galapagos, Ecuador", why americans will cause one of the worst covid outbreaks a a vast majority are self centered and ignorant beli
15,,"RT @chicagosmayor: You can still go outside for a walk, buy groceries, get your medicine, get your laundry done, and more under the Stay at…",huskeeman82,"Chicago, IL", you can still go outside for a walk buy groceries get your medicine get your laundry done and more under the stay at
16,,RT @SiouxsieW: I explain what level 2 of NZ's #Covid_19 Alert System is in my latest @TheSpinoffTV piece. In her briefing @jacindaardern li…,ReinhardHiller,"Cape Town, South Africa", i explain what level of nz s covid ale system is in my latest piece in her briefing li
17,,"RT @hjelle_brian: Only about 8000 more tests for COVID-19 occurred today so far, despite claimed availability of 5 million tests.",Ldonahuehjelle,New Mexico. That’s in the USA., brian only about more tests for covid occurred today so far despite claimed availability of million tests
18,,"RT @narendramodi: Today, via video conferencing, interacted with various stakeholders associated with the pharmaceuticals industry and revi…",Singh_Harsh90,Navi Mumbai, today via video conferencing interacted with various stakeholders associated with the pharmaceuticals industry and revi
19,,"RT @CraigCons: Prophet Muhammad balanced faith w/ reason.

He once saw a man leaving his camel w/ out tying it. He asked: “Why don’t you ti…",Ogloyal1,"New York, USA IJN", prophet muhammad balanced faith w reason he once saw a man leaving his camel w out tying it he asked why don t you ti
