datetime,text
"23:37 (IST), Mar 22",Republican Rand Paul becomes first US senator to test positive for coronavirus
"23:34 (IST), Mar 22","Coronavirus: SC cancels benches, only one court to hear urgent cases through video-conferencing"
"23:30 (IST), Mar 22","German Chancellor Angela Merkel will quarantine herself at home after being treated by a doctor who has since tested positive for the novel coronavirus, a government spokesman said Sunday"
"22:59 (IST), Mar 22","There was a case reported of suspected Covid-19 passengers aboard I5-732, Pune to New Delhi on March 20, seated in Row 1. The passengers were subsequently screened and tested negative: Air Asia Spokesperson"
"22:48 (IST), Mar 22","Italy reports 651 new virus death, toll nears 5,500: Govt"
"22:46 (IST), Mar 22","50% staff of Mizoram govt to attend officeThe Mizoram government has decided that 50 per cent of the total employees will attend office daily while others will work from home in view of the coronavirus outbreak, Chief Secretary Lalnunmawia Chuaungo said on Sunday."
"22:33 (IST), Mar 22",Total number of coronavirus positive cases rises to 396 in India (including foreign nationals): Indian Council of Medical Research (ICMR)
"22:30 (IST), Mar 22",Rajasthan Health Department writes to senior officials of all districts to immediately identify buildings for setting up quarantine facilities for over 1 lakh people as part the govt's preparedness to tackle any emergency situation
"22:26 (IST), Mar 22",Germany bans gatherings of more than two to control virus spread: Merkel
"22:20 (IST), Mar 22","It has been decided that all voter centers will remain closed from tomorrow March 23 till March 31: Chief Electoral Office, Delhi"
"22:05 (IST), Mar 22",Germany will ban public gatherings of more than two people to slow down the spread of the coronavirus
"22:01 (IST), Mar 22",Govt of Rajasthan: Private hospitals & medical colleges having a capacity of 100 or more beds are instructed to earmark 25% of their total number of beds for admitting suspect/positive cases
"22:00 (IST), Mar 22",Greece to impose nationwide movement restrictions from Monday: PM
"21:48 (IST), Mar 22",Jharkhand declares lockdown with immediate effect till March 31 to contain spread of novel coronavirus pandemic: Official release
"21:42 (IST), Mar 22",Social distancing key to containing Covid-19 spread: GadkariUnion minister Nitin Gadkari on Sunday emphasised the need for social distancing to curb the spread of the novel coronavirus and appreciated people's overwhelming response to 'Janata curfew' proposed by Prime Minister Narendra Modi to tackle the crisis.
"21:37 (IST), Mar 22","All passenger trains, metro, inter-state bus services suspended till March 31; complete lockdown in 80 districtsAll inter-state buses, passenger trains and metro services have been suspended across the country till March 31, while 80 districts in 17 states and five Union Territories including Delhi where coronavirus cases were reported will be under complete lockdown during the period. Read more"
"21:34 (IST), Mar 22","NYC to run out of ventilators in days: MayorNew York is days away from running out of essential equipment needed to keep hospitals running because of the coronavirus pandemic, its mayor warned Sunday. The Big Apple has the highest number of confirmed cases of Covid-19 in the United States and Bill de Blasio said the city's hospitals were at breaking point."
"21:33 (IST), Mar 22",Kerala: Prohibitory orders under section 144 of CrPC have been imposed in Kasaragod and Kozhikode districts of the state to restrict gathering at public places
"21:28 (IST), Mar 22",Visual: Delhi's IGI airport
"21:23 (IST), Mar 22",What happens after the coronavirus peaks?
"23:37 (IST), Mar 22",Republican Rand Paul becomes first US senator to test positive for coronavirus
"23:34 (IST), Mar 22","Coronavirus: SC cancels benches, only one court to hear urgent cases through video-conferencing"
"23:30 (IST), Mar 22","German Chancellor Angela Merkel will quarantine herself at home after being treated by a doctor who has since tested positive for the novel coronavirus, a government spokesman said Sunday"
"22:59 (IST), Mar 22","There was a case reported of suspected Covid-19 passengers aboard I5-732, Pune to New Delhi on March 20, seated in Row 1. The passengers were subsequently screened and tested negative: Air Asia Spokesperson"
"22:48 (IST), Mar 22","Italy reports 651 new virus death, toll nears 5,500: Govt"
"22:46 (IST), Mar 22","50% staff of Mizoram govt to attend officeThe Mizoram government has decided that 50 per cent of the total employees will attend office daily while others will work from home in view of the coronavirus outbreak, Chief Secretary Lalnunmawia Chuaungo said on Sunday."
"22:33 (IST), Mar 22",Total number of coronavirus positive cases rises to 396 in India (including foreign nationals): Indian Council of Medical Research (ICMR)
"22:30 (IST), Mar 22",Rajasthan Health Department writes to senior officials of all districts to immediately identify buildings for setting up quarantine facilities for over 1 lakh people as part the govt's preparedness to tackle any emergency situation
"22:26 (IST), Mar 22",Germany bans gatherings of more than two to control virus spread: Merkel
"22:20 (IST), Mar 22","It has been decided that all voter centers will remain closed from tomorrow March 23 till March 31: Chief Electoral Office, Delhi"
"22:05 (IST), Mar 22",Germany will ban public gatherings of more than two people to slow down the spread of the coronavirus
"22:01 (IST), Mar 22",Govt of Rajasthan: Private hospitals & medical colleges having a capacity of 100 or more beds are instructed to earmark 25% of their total number of beds for admitting suspect/positive cases
"22:00 (IST), Mar 22",Greece to impose nationwide movement restrictions from Monday: PM
"21:48 (IST), Mar 22",Jharkhand declares lockdown with immediate effect till March 31 to contain spread of novel coronavirus pandemic: Official release
"21:42 (IST), Mar 22",Social distancing key to containing Covid-19 spread: GadkariUnion minister Nitin Gadkari on Sunday emphasised the need for social distancing to curb the spread of the novel coronavirus and appreciated people's overwhelming response to 'Janata curfew' proposed by Prime Minister Narendra Modi to tackle the crisis.
"21:37 (IST), Mar 22","All passenger trains, metro, inter-state bus services suspended till March 31; complete lockdown in 80 districtsAll inter-state buses, passenger trains and metro services have been suspended across the country till March 31, while 80 districts in 17 states and five Union Territories including Delhi where coronavirus cases were reported will be under complete lockdown during the period. Read more"
"21:34 (IST), Mar 22","NYC to run out of ventilators in days: MayorNew York is days away from running out of essential equipment needed to keep hospitals running because of the coronavirus pandemic, its mayor warned Sunday. The Big Apple has the highest number of confirmed cases of Covid-19 in the United States and Bill de Blasio said the city's hospitals were at breaking point."
"21:33 (IST), Mar 22",Kerala: Prohibitory orders under section 144 of CrPC have been imposed in Kasaragod and Kozhikode districts of the state to restrict gathering at public places
"21:28 (IST), Mar 22",Visual: Delhi's IGI airport
"21:23 (IST), Mar 22",What happens after the coronavirus peaks?
"21:09 (IST), Mar 22",'Mothers like you inspire those fighting corona': PM Modi on video of his mother
"21:05 (IST), Mar 22",Budget session of Parliament likely to be concluded on Monday after passage of Finance Bill in both Houses: Sources
"20:53 (IST), Mar 22",Spain Prime Minister to seek to extend coronavirus state of emergency until April 11
"20:51 (IST), Mar 22","Three more test positive for coronavirus in Kolkata, total cases in West Bengal rise to 7: Official"
"20:48 (IST), Mar 22","PM Modi takes to Twitter to thank motherमां...   मां आप जैसी करोड़ों माताओं के आशीर्वाद से कोरोना वायरस से लड़ रहे डॉक्टर, नर्स, मेडिकल स्टाफ, पुलिसकर्मी,… https://t.co/CU6tUFWNI2— Narendra Modi (@narendramodi) 1584889236000"
"20:44 (IST), Mar 22","Doctors' body appreciates PM Modi's gesture of motivating the public to show gratitude towards doctors, nurses and healthcare workers"
"20:31 (IST), Mar 22","All segments at BSE will operate as usual on March 23, 2020"
"20:27 (IST), Mar 22",Read: Virus rebels from France to Florida flout lockdown practices
"20:15 (IST), Mar 22","Fifteen more positive cases of coronavirus detected in Kerala. Total rises to 67, including three discharged: Health dept"
"20:11 (IST), Mar 22",Delhi Airport to remain operational for domestic flights: Government
"20:07 (IST), Mar 22",Read: Switzerland records more than 900 more coronavirus cases
"20:05 (IST), Mar 22","All types of commercial vehicles, including buses & tempos, will remain off the roads in Assam till Tuesday: State apex transport association"
"20:02 (IST), Mar 22",Emirates to suspend all passenger flights from March 25
"20:00 (IST), Mar 22",Death toll due to Covid-19 rises to 7 in India; total number of cases climb to 360: Union health ministry
"19:46 (IST), Mar 22",Mumbai CSTM wears a deserted look
"19:41 (IST), Mar 22","Woman, son test positive for coronavirus in Greater Noida (West), total number of cases in Gautam Buddh Nagar 8: Officials"
"19:40 (IST), Mar 22",J&K orders shutdown of all establishments and services except essential commodities till March 31
"19:35 (IST), Mar 22",US Treasury secretary says coronavirus relief plan calls for $4 trillion
"19:31 (IST), Mar 22",Domestic flights to and from Delhi's IGI Airport shall continue to operate and the Airport shall remain functional: Ministry of civil aviation
"19:30 (IST), Mar 22",Howrah's Dumurjola Stadium has been converted into a temporary isolation centre in 3 days for all Covid-19 +ve suspected patients: West Bengal health department
