datetime,text
"12:44 (IST), Mar 26",Two wheeler being seized by police on Anna Salai near Spencer Plaza in Chennai
"12:42 (IST), Mar 26",During lockdown there will be no restrictions on e-commerce companies. Delhi govt asks field officers from administration and police to ensure it.
"12:41 (IST), Mar 26","Spoke to SDMC Commissioner&suggested to him that arrangements should be at community centres and Corpration's offices for stay of municpal staff. Grains should be delivered at doorstep of all SDMC pensioners. Garbage should be collected regularly: Councillor from Andrew Ganj ward, A Dutt"
"12:40 (IST), Mar 26",All officers of Gurugram Police have been directed that exemption of services of technical hands required for essential services/maintenance of households/buildings shall be allowed free movement: Gurugram Police
"12:39 (IST), Mar 26",Gautam Budh Nagar District Magistrate BN Singh has sealed Ace Golfshire apartments in Sector 150 and Hotel Sandal Suit Sector in Sector 135 till 10am 28th March after tracing of earlier reported Coronavirus positive cases in the area.
"12:39 (IST), Mar 26",SDMs and ACPs in Delhi asked to ensure all essential shops are open & stocks are sufficient.
"12:38 (IST), Mar 26",Delhi govt urges essential shops to open 24 hours so that maximum number of people get the supplies without facing crowd.
"12:38 (IST), Mar 26","One more Covid-19 positive case reported in Delhi in last 24 hours, total cases rise to 36: Delhi CM"
"12:30 (IST), Mar 26","Maharashtra: Coronavirus related meeting in Mantralaya begins. Cops, BMC officials also present."
"12:29 (IST), Mar 26",Delhi Chief Minister Arvind Kejriwal and Lt Governor Anil Baijal address mediapersons
"12:17 (IST), Mar 26","FM to announce economic package soon to deal with Covid-19 impactFinance Minister Nirmala Sitharaman will soon announce a comprehensive package to deal with coronavirus impact on the economy. The announcement is expected to take place at 1 pm on Thursday, according to an official. Earlier this week, the Finance Minister had said a package is under works and will be announced soon. Prime Minister Narendra Modi last week had constituted a task force headed by the Finance Minister to work out package for economy hit by coronavirus."
"12:16 (IST), Mar 26","Kashmir: 48 people who came in contact with Covid-19 patient put in quarantineForty-eight people, who had come in contact with the first coronavirus fatality in Kashmir, are in quarantine and authorities are in touch with the states visited by the man to track those who may have been infected by him, an official said on Thursday. The 65-year-old man, hailing from Hyderpora area of the city here, died on Thursday morning -- becoming the first fatality in Jammu and Kashmir due to coronavirus. Four of his contacts in the valley – all from north Kashmir's Bandipora district -- also tested positive on Wednesday. ""The person attended religious gatherings in New Delhi, Deoband (in Uttar Pradesh), Jammu, Samba, Sopore and then he came back here (Srinagar) and was admitted to a chest diseases hospital where he expired,"" Director, Health Services, Kashmir, Samir Matoo told PTI."
"12:13 (IST), Mar 26",Police regulates road users on in Chennai
"12:12 (IST), Mar 26","Goa CM Pramod Sawant to hold meeting with all major grocery providers like super market operators, major grocery shop owners to work out plan on supply of essential commodities."
"12:11 (IST), Mar 26",Coronavirus: Delhi govt orders all health care staff involving in the care of Covid-19 patients or suspects to undergo test. Patients admitted with acute respiratory distress will also be tested for the disease.
"12:09 (IST), Mar 26","WHO 'very much' sided with China on coronavirus: TrumpUS President Donald Trump has said that the World Health Organization has ""very much"" sided with China on coronavirus crisis, asserting that many people are unhappy with the global health agency and feel that ""it's been very unfair"". Read more"
"12:08 (IST), Mar 26","Coronavirus: Sonia Gandhi writes to PM Modi, voices support to lockdown"
"12:02 (IST), Mar 26","Chennai corporation ties up with Anna University to spray disinfectant through drones across the city. One drone can cover 50,000 square feet. Four drones to be procured."
"11:59 (IST), Mar 26",All loan installment deductions from salaries of government employees may also be deferred for six months: Sonia to PM
"11:59 (IST), Mar 26","Centre must consider announcing sector-wise relief package, including tax breaks, interest subvention, deferment of liability: Sonia to PM"
"12:44 (IST), Mar 26",Two wheeler being seized by police on Anna Salai near Spencer Plaza in Chennai
"12:42 (IST), Mar 26",During lockdown there will be no restrictions on e-commerce companies. Delhi govt asks field officers from administration and police to ensure it.
"12:41 (IST), Mar 26","Spoke to SDMC Commissioner&suggested to him that arrangements should be at community centres and Corpration's offices for stay of municpal staff. Grains should be delivered at doorstep of all SDMC pensioners. Garbage should be collected regularly: Councillor from Andrew Ganj ward, A Dutt"
"12:40 (IST), Mar 26",All officers of Gurugram Police have been directed that exemption of services of technical hands required for essential services/maintenance of households/buildings shall be allowed free movement: Gurugram Police
"12:39 (IST), Mar 26",Gautam Budh Nagar District Magistrate BN Singh has sealed Ace Golfshire apartments in Sector 150 and Hotel Sandal Suit Sector in Sector 135 till 10am 28th March after tracing of earlier reported Coronavirus positive cases in the area.
"12:39 (IST), Mar 26",SDMs and ACPs in Delhi asked to ensure all essential shops are open & stocks are sufficient.
"12:38 (IST), Mar 26",Delhi govt urges essential shops to open 24 hours so that maximum number of people get the supplies without facing crowd.
"12:38 (IST), Mar 26","One more Covid-19 positive case reported in Delhi in last 24 hours, total cases rise to 36: Delhi CM"
"12:30 (IST), Mar 26","Maharashtra: Coronavirus related meeting in Mantralaya begins. Cops, BMC officials also present."
"12:29 (IST), Mar 26",Delhi Chief Minister Arvind Kejriwal and Lt Governor Anil Baijal address mediapersons
