profile,ignore_exit_errors,status,copy_mode,use_table_segmenter,use_exclusive_locks,ignore_table_errors,lock_source_client,size_in_bytes_bin,parallel_number_bin,runtime_in_seconds
0,0,0,0,0,0,0,0,2,1,1290
0,0,0,0,0,0,0,0,2,1,1192
0,1,1,0,0,1,0,1,2,2,343
1,0,0,1,0,0,1,1,2,3,1800
0,0,1,0,0,1,0,0,2,1,249
0,0,0,0,0,1,0,0,3,1,2875
0,0,1,0,0,1,0,0,2,1,3960
1,0,1,0,0,1,0,1,3,1,830
0,0,0,0,0,0,0,0,2,1,1176
1,0,0,0,0,0,0,0,2,1,1180
0,0,0,0,0,1,0,0,2,1,1817
1,0,0,0,0,0,0,1,2,1,1500
2,0,1,0,0,0,0,0,2,1,421
0,0,0,0,0,1,0,0,2,1,1212
1,0,0,0,0,1,0,1,2,1,3312
0,0,0,0,0,1,0,0,2,1,880
0,0,1,0,0,1,0,0,3,1,3708
0,0,0,0,0,1,0,0,3,1,1850
0,0,0,0,0,1,0,0,2,1,1286
0,0,0,0,0,1,0,0,2,1,1274
0,0,0,0,0,1,0,0,2,1,1325
0,0,0,0,0,0,0,0,2,1,1521
0,0,0,0,0,0,0,0,2,1,2362
0,0,0,0,0,1,0,0,3,1,1781
1,0,0,0,0,1,0,0,3,1,2309
0,0,1,0,0,1,0,0,2,1,3728
0,0,0,0,0,1,0,0,3,1,1607
0,0,0,0,0,1,0,0,2,1,477
0,0,1,0,0,1,0,0,2,1,485
0,0,0,0,0,0,0,0,2,1,916
0,0,0,0,0,1,0,0,1,1,941
0,0,0,0,0,1,0,0,2,1,508
0,0,1,0,0,1,0,0,2,1,195
0,0,0,0,0,1,0,0,3,1,3811
0,0,1,0,0,1,0,0,2,1,3916
0,0,0,0,0,1,0,1,2,1,3447
1,0,1,0,0,1,0,1,3,1,2932
0,0,1,0,0,1,0,0,2,1,1063
1,0,1,0,0,0,0,1,2,1,470
0,0,0,0,0,1,0,0,2,1,686
0,0,1,0,0,1,0,0,2,1,1996
0,0,1,0,0,1,0,0,2,1,3551
0,0,0,0,0,1,0,0,2,1,4150
0,0,1,0,0,0,0,0,2,1,3453
0,0,0,0,0,1,0,0,3,1,1245
0,0,1,0,0,1,0,0,2,1,364
0,0,0,0,0,1,0,0,2,1,853
0,0,0,0,0,1,0,0,2,1,1178
0,0,1,0,0,1,0,0,2,1,210
0,0,1,0,0,1,0,0,2,1,3805
0,0,0,0,0,1,0,0,2,1,649
0,0,0,0,0,1,0,0,2,1,2834
0,0,1,0,0,0,0,0,2,1,3088
0,0,1,0,0,1,0,0,2,1,3988
1,0,0,0,0,1,0,1,3,1,2579
0,0,1,0,0,1,0,0,3,1,1560
0,0,0,0,0,1,0,0,2,1,2107
0,0,0,0,0,0,0,0,1,1,1678
0,0,0,0,0,1,0,0,2,1,1311
0,0,0,0,0,0,0,0,2,1,1174
