size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
0,0,0,0,0,0,0,0.2,0,0,0,0,1,916.7066400958615,1290.0
0,0,0,0,0,0,0,0.2,0,0,0,1,1,1691.9041558849017,1192.0
0,0,0,1,0,1,1,0.23333333333333334,1,0,0,0,1,1532.998532041136,343.0
0,0,1,0,1,0,0,0.3333333333333333,1,1,0,1,1,1523.3001914006027,1800.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2006.3360083906298,249.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1953.53936461508,2875.0
0,0,0,1,0,0,1,0.2,0,0,0,1,1,1768.1366308760134,3960.0
1,1,1,1,0,0,1,0.2,1,0,0,1,1,2001.9728485989338,830.0
0,0,0,0,0,0,0,0.2,0,0,0,1,1,1639.44436861912,1176.0
1,0,1,0,0,0,0,0.2,0,0,0,1,1,1601.4923091101377,1180.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,2035.0196815605548,1817.0
1,0,1,0,0,0,0,0.2,1,0,0,1,1,1420.528413072218,1500.0
1,0,2,0,0,0,1,0.2,0,0,0,1,1,1777.7003507154109,421.0
0,0,0,1,0,0,0,0.2,0,0,0,1,1,1900.557261457576,1212.0
1,0,1,1,0,0,0,0.2,1,0,0,1,1,1664.6678390118932,3312.0
0,0,0,1,0,0,0,0.2,0,0,0,0,1,1161.9191401972284,880.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2006.3360083906298,3708.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1953.53936461508,1850.0
1,1,0,1,0,0,0,1.0,0,0,0,1,1,2117.9255010191655,3472.0
2,2,0,1,0,0,0,0.2,0,0,0,1,1,1981.334856488516,4883.0
2,1,1,0,0,0,1,0.2,0,0,0,1,1,1909.887370058398,475.0
0,0,0,1,0,0,0,0.2,0,0,0,1,1,1925.7438727416443,1286.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1953.53936461508,1274.0
0,3,0,1,0,0,0,0.2,0,0,0,0,1,1195.1714748876893,1325.0
0,0,0,0,0,0,0,0.2,0,0,0,1,1,1639.44436861912,1521.0
0,0,0,0,0,0,0,0.2,0,0,0,1,1,1686.2093180783756,2362.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,2035.0196815605548,1781.0
2,1,1,1,0,0,0,0.2,0,0,0,1,1,1943.0666231118007,2309.0
0,1,0,1,0,0,1,0.2,0,0,0,1,1,2135.34990911426,3728.0
1,0,0,1,0,0,0,1.0,0,0,0,1,1,2316.6783873742993,1977.0
2,1,0,1,0,0,0,0.2,0,0,0,1,1,2032.006997972995,1607.0
0,0,0,1,0,0,0,0.2,0,0,0,0,1,1054.5831249524654,477.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2339.95409120921,485.0
0,0,0,0,0,0,0,0.2,0,0,0,0,1,983.888869674069,916.0
0,3,0,1,0,0,0,0.2,0,0,0,0,0,436.9162627335313,941.0
0,0,0,1,0,0,0,0.2,0,0,0,0,1,1147.544621134638,508.0
0,0,0,1,0,0,1,0.2,0,0,0,1,1,2212.180563285201,195.0
2,1,0,1,0,0,0,0.2,0,0,0,1,1,2185.024187377993,3811.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2299.3972561185346,3916.0
2,1,1,0,0,0,1,0.2,0,0,0,1,1,2030.6269466063502,217.0
0,0,0,1,0,0,0,0.2,1,0,0,1,1,1716.173452763179,3447.0
1,1,1,0,1,0,0,1.0,0,1,0,1,1,1856.3776730794518,4628.0
1,0,1,1,0,0,1,0.2,1,0,0,1,1,1829.23263488161,2932.0
0,0,0,1,0,0,1,0.2,0,0,0,1,1,2212.180563285201,1063.0
1,1,0,1,0,0,0,1.0,0,0,0,1,1,2307.0300925768106,1472.0
1,0,1,0,0,0,1,0.2,1,0,0,1,1,1691.3561500250062,470.0
1,0,0,1,0,0,0,0.2,0,0,0,1,1,1946.8248098633765,686.0
1,0,0,1,0,0,1,0.2,0,0,0,1,1,2226.5355126572435,1996.0
0,0,0,1,0,0,1,0.2,0,0,0,1,1,1768.1366308760134,3551.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,2035.0196815605548,4150.0
1,1,0,1,0,0,0,1.0,0,0,0,1,1,2307.0300925768106,1425.0
0,0,0,0,0,0,1,0.2,0,0,0,1,1,1914.108106845197,3453.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1947.3305103791524,1245.0
1,0,0,1,0,0,1,0.2,0,0,0,1,1,1910.624165895105,364.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,2042.5366523589012,853.0
0,0,0,1,0,0,0,0.2,0,0,0,0,1,1147.544621134638,1178.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2339.95409120921,210.0
2,1,1,0,0,0,1,0.2,0,0,0,1,1,2030.6269466063502,810.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2299.3972561185346,3805.0
0,0,0,1,0,0,0,0.2,0,0,0,1,1,1925.7438727416443,649.0
3,3,3,0,1,1,0,1.0,1,0,0,0,0,818.9238393672513,188.0
1,0,0,1,0,0,0,0.2,0,0,0,1,1,1993.5092959347805,2834.0
0,0,0,0,0,0,1,0.2,0,0,0,1,1,1987.6765121378917,3088.0
