geo,tweet,user_handle,location,cleaned_tweets
,"RT @MelBala: The #Corona virus whatsapp line developed in SA is so successful, they’re taking it worldwide 🙌🏾",__MJDr,Johannesburg. , the corona virus whatsapp line developed in sa is so successful they re taking it worldwide
,"RT @ShashiTharoor: As an MP, I appeal to @PMOIndia to divert the ₹20,000 Cr earmarked for new Parliament building &amp; Central Vista to supple…",ankushsharma200,Within 5 Oceans, as an mp i appeal to to dive the cr earmarked for new parliament building central vista to supple
,"RT @EUErasmusPlus: Read the Erasmus Student Network statement on the #COVID19 outbreak and its implications on student mobility.

➡️ https:…",EU_Careers,Brussels, read the erasmus student network statement on the covid outbreak and its implications on student mobility https
,RT @BWGovernment: Take heed of and follow health professionals' advice and instructions. Wash your hands with soap and water. Do not argue…,RragoYaya,"Dikwididi, Kgatleng East, BW", take heed of and follow health professionals advice and instructions wash your hands with soap and water do not argue
,"RT @ArewaTwiter: All Governors, Senators, Reps or
Ministers etc who have contacted #COVID19 should be treated in his or her state hospitals…",sagysagir,Nigeria, all governors senators reps or ministers etc who have contacted covid should be treated in his or her state hospitals
,"RT @SuzanneRastrick: Thank you to #AHPs and our many other colleagues in health &amp; care for all you are doing at this time.

Please take a l…",UoSODP,"Ipswich, England", thank you to ahps and our many other colleagues in health care for all you are doing at this time please take a l
,#Locusts invasion threatens livelihoods in #Turkana as people are asked to stay home to curb the spread of #COVID19.,TheRipota,,locusts invasion threatens livelihoods in turkana as people are asked to stay home to curb the spread of covid
,"RT @moronhumor: Holy Momos 😳😳😳😳😳😳

#COVID19 #CoronaVirus https://t.co/yy74lYQXST",singh_bansh,, holy momos covid coronavirus
,"RT @MmegiOnline: BREAKING: NO SALE OF ALCOHOL FOR 30 DAYS
From Saturday, March 28, 2020
#coronavirus #covid19 #coronavirusBotswana https://…",TJalamba,"Pretoria, Ngcobo, Mthatha", breaking no sale of alcohol for days from saturday march coronavirus covid coronavirusbotswana https
,"RT @rsprasad: There are many myths and misconceptions that are spreading related to COVID-19.
It is important to get right facts and inform…",bhagirathi_stpi,NOIDA, there are many myths and misconceptions that are spreading related to covid it is impoant to get right facts and inform
,"RT @ANCALERTS: @donronX Magalong: The CT scan of the lungs is sent to the system, and the result will say if there is a viral infection; it…",MonPinkNee,, magalong the ct scan of the lungs is sent to the system and the result will say if there is a viral infection it
,"RT @DDNational: PLEASE RETWEET -

Please take this #SocialDistancingPledge 

✋ I pledge to follow #SocialDistancing .
✋ I pledge to convey…",Jobby_Yahaya07,"Kwara, Nigeria", please retweet please take this socialdistancingpledge i pledge to follow socialdistancing i pledge to convey
,#StayHomeBands #How Will the Coronavirus E #JOOPOCALYPSE #AEWDynamite   #JooheonIsBack  #BerryNice… https://t.co/uyETZeCeoS,ZKerwinzhang,,stayhomebands how will the coronavirus e joopocalypse aewdynamite jooheonisback berrynice
,"RT @WilliamBuckAU: We've created a dedicated COVID-19 Resource Centre, providing updates on GOV stimulus packages, FAQs on government assis…",SlavenFi,, we ve created a dedicated covid resource centre providing updates on gov stimulus packages faqs on government assis
,RT @Mr_JAGss: FLASH: The attention of the Lagos State Government has been drawn to news reports that Lagos is on lockdown following Governo…,myinfinixstory,Lagos State, jagss flash the attention of the lagos state government has been drawn to news repos that lagos is on lockdown following governo
,"RT @vijayanpinarayi: No one will starve during this lockdown #COVID19 

Kerala has taken extensive measures to ensure that no one will star…",romyroyz,, no one will starve during this lockdown covid kerala has taken extensive measures to ensure that no one will star
,RT @minesam_: This is  very hilarious 😄😄😄😄 the fear of #COVID19 is 100% https://t.co/3YWabuSDjv,donadex01,"lagos,nigeria", this is very hilarious the fear of covid is
,"@BorisJohnson Hey Boris, I’m still no fan of you, but I do hope that the people of this country do start acting as… https://t.co/gfwMDnorhq",gazza_the_red,,hey boris i m still no fan of you but i do hope that the people of this country do sta acting as
,"RT @ChannelNewsAsia: Singapore is neither raising the DORSCON alert level to red, nor is it going into lockdown over #COVID19: Government h…",beingevil,trash planet in space, singapore is neither raising the dorscon ale level to red nor is it going into lockdown over covid government h
,RT @thaispicytravel: So our wedding has been postponed for obvious reasons and we had 115 chocolate Lindt bunnies as wedding favours - time…,ilocinetweet,"Querétaro, Querétaro Arteaga", so our wedding has been postponed for obvious reasons and we had chocolate lindt bunnies as wedding favours time
,RT @chadinabhan: Situation in NYC with #COVID19 #COVID is unbearable; need every kind of support possible 2 not only save patients but also…,annekhackett,NYC, situation in nyc with covid covid is unbearable need every kind of suppo possible not only save patients but also
,"RT @tmprowell: HELP! I have a family member in Orange County, CA on a vent in critical condition for #COVID19. We are urgently seeking a pe…",commonedition,"Utah, USA", help i have a family member in orange county ca on a vent in critical condition for covid we are urgently seeking a pe
,"RT @ABCIA_Impact: For the past weeks the #COVID19 global pandemic has spread, so the need for emergency savings. A saving for this is essen…",francyswainain1,"Nairobi, Kenya", impact for the past weeks the covid global pandemic has spread so the need for emergency savings a saving for this is essen
,"RT @rohanrgupta: 𝗕𝗝𝗣'𝘀 𝗿𝗲𝘀𝗽𝗼𝗻𝘀𝗲 𝘁𝗼 #Covid19:

𝗝𝗮𝗻𝘂𝗮𝗿𝘆: India doesn't need to worry

𝗙𝗲𝗯𝗿𝘂𝗮𝗿𝘆: India won't be affected

𝟭𝟳 𝗠𝗮𝗿𝗰𝗵: Blame Rahu…",Dineshsaklani36,"Rishikesh, India", covid india doesn t need to worry india won t be affected blame rahu
,"RT @PahlaviReza: While the people of Iran are struggling against #COVID19, the regime is embezzling international aid, selling needed suppl…",Mazibeyk4,دیار بابک , while the people of iran are struggling against covid the regime is embezzling international aid selling needed suppl
,"RT @hhtyouthicon: Better Truth..! #Corona #mathuvilakku 
@hiphoptamizha 

#Hiphoptamizha #StayHomeIndia #StayHomeStaySafe #quarantine 
#Naa…",varunkarthickvk,"Coimbatore, India", better truth corona mathuvilakku hiphoptamizha stayhomeindia stayhomestaysafe quarantine naa
,"Now we urgently need the same response for those living in #DirectOrivision. We are not safe, until we are all safe… https://t.co/47961cV3ty",Colmogorman,Tara Hill County Wexford,now we urgently need the same response for those living in directorivision we are not safe until we are all safe
,"RT @ChannelNewsAsia: Singapore is neither raising the DORSCON alert level to red, nor is it going into lockdown over #COVID19: Government h…",frhnnsr,Singapore, singapore is neither raising the dorscon ale level to red nor is it going into lockdown over covid government h
,RT @nissenjo: Given the push to move teaching to online platforms we have launched an extra run of @UiB ’s climate MOOC starting on the 30t…,ResearchDEEP,"Oslo, Norway", given the push to move teaching to online platforms we have launched an extra run of s climate mooc staing on the t
,"The largest rescue package in American history!
U.S. Senate passes 2-tln-USD stimulus package to blunt #COVID19 fal… https://t.co/vbacdkeUDr",AnnoDom197848,India,the largest rescue package in american history u s senate passes tln usd stimulus package to blunt covid fal
,#Uranium and #COVID19: Who’s Reacting and How? ⚛️⛏️↘️  World chaos creates headwind for #U3O8 production while… https://t.co/ROS7MfLWi8,quakes99,"Vancouver Island, British Columbia, Canada",uranium and covid who s reacting and how world chaos creates headwind for u o production while
,"#SSA #MENA #SAIL → #CPEC #HSR+ #SEZs

When supply couldn't meet demand, it would better stipulate the goods sold mu… https://t.co/fd2CySXrXc",briankuo,Hong Kong,ssa mena sail cpec hsr sezs when supply couldn t meet demand it would better stipulate the goods sold mu
,"RT @ShashiTharoor: As an MP, I appeal to @PMOIndia to divert the ₹20,000 Cr earmarked for new Parliament building &amp; Central Vista to supple…",mandarmpawar,"Pune, India", as an mp i appeal to to dive the cr earmarked for new parliament building central vista to supple
,RT @Danielf90: There is no calm before the storm. There is just storm. Tough day. #COVID,ThomasBridge3,The Semi-United Kingdom, there is no calm before the storm there is just storm tough day covid
,RT @Vijayabaskarofl: #UPDATE: The third Private #COVID19 testing lab for TN is approved by @MoHFW_INDIA. Testing can be done at Neuberg Ehr…,wavehit,Coimbatore, update the third private covid testing lab for tn is approved by india testing can be done at neuberg ehr
,RT @StateHouseKenya: State interventions to cushion Kenyans against economic effects of the #COVID19 pandemic #COVID19Kenya https://t.co/uT…,monkey1612,"Islington, London", state interventions to cushion kenyans against economic effects of the covid pandemic covid kenya
,RT @SKNonline: Stylishstar @alluarjun Allu Aravind garu and family claps for all the Doctors &amp; Police who are risking their lives in saving…,alluravin,Kerala , stylishstar allu aravind garu and family claps for all the doctors police who are risking their lives in saving
,"RT @shadlu: Wash your hands &amp; stay at home. 
Stay safe... #COVID19 o ni di wa meru lo o https://t.co/G1URUO9XKk",iamseunalaofin,Anywhere you are, wash your hands stay at home stay safe covid o ni di wa meru lo o
,"RT @tmprowell: HELP! I have a family member in Orange County, CA on a vent in critical condition for #COVID19. We are urgently seeking a pe…",marieke0205,, help i have a family member in orange county ca on a vent in critical condition for covid we are urgently seeking a pe
,"RT @walangpasokfile: LOOK: Rare events are happening in Metro Manila during the Luzon Lockdown due to #COVID19.

A part of Sierra Madre can…",jansenevillar,Republic of the Philippines, look rare events are happening in metro manila during the luzon lockdown due to covid a pa of sierra madre can
,RT @BusinessTimes: The global economy is now facing both supply &amp; demand shocks. Supply chains are disrupted as locked-down workers are una…,vanalich,, the global economy is now facing both supply demand shocks supply chains are disrupted as locked down workers are una
,RT @BBhuttoZardari: It has been Pakistan Peoples Party’s position for some time that federal government must renegotiate its ruinous deal w…,FarooqKhanNA238,"Karachi, Pakistan", it has been pakistan peoples pay s position for some time that federal government must renegotiate its ruinous deal w
,RT @EbbaKalondo: I work+live in #AddisAbaba. I gave my housekeeper double wages this month + will continue to do so until #COVID19 is over.…,Stopcorona,, i work live in addisababa i gave my housekeeper double wages this month will continue to do so until covid is over
,"RT @paul__johnson: President Macron thanked Germany Switzerland Luxembourg for taking French patients.
'This solidarity is real Europe'

Me…",florrierabbit,"Leicester, England", johnson president macron thanked germany switzerland luxembourg for taking french patients this solidarity is real europe me
,RT @DrEricDing: 8 workers #COVID19 positive. “Amazon temporarily closed down facilities in some cases in order for the centers to be saniti…,yadukini,"München, Bayern", workers covid positive amazon temporarily closed down facilities in some cases in order for the centers to be saniti
,"RT @rachelbovard: Good news everyone, the Senate's bill still has $25 million for the Kennedy Center. What a relief to the small businesses…",AutryDeason,, good news everyone the senate s bill still has million for the kennedy center what a relief to the small businesses
,"RT @OxfamAustralia: MEDIA RELEASE: Oxfam calls on Australian Government to back UN’s #COVID19 response plan to support most vulnerable

htt…",bull_em,"Sydney, New South Wales", media release oxfam calls on australian government to back un s covid response plan to suppo most vulnerable htt
,RT @thaispicytravel: So our wedding has been postponed for obvious reasons and we had 115 chocolate Lindt bunnies as wedding favours - time…,WontBiteY,Dubai, so our wedding has been postponed for obvious reasons and we had chocolate lindt bunnies as wedding favours time
,RT @circleofcricket: .@KP24 posted another message for the Indian fans in Hindi after PM @narendramodi announced 21-day nationwide lockdown…,CricketFanatik,, posted another message for the indian fans in hindi after pm announced day nationwide lockdown
,"RT @wendellpotter: As a former health insurance exec, I don’t think any story better illustrates my old industry’s racket than the one I’m…",ademrudin,, as a former health insurance exec i don t think any story better illustrates my old industry s racket than the one i m
,The viral brilliant #Corona hit - 10/10 for this lady https://t.co/40O7kG9rLC,Raynface,Cape Town,the viral brilliant corona hit for this lady
,RT @QezuTshepo: Amazingly China doesn't have any fatalities and a reduced number of new infections...To top it all they are making a lot of…,tobby_cuz,Nigeria, amazingly china doesn t have any fatalities and a reduced number of new infections to top it all they are making a lot of
,"RT @freeanons: Update on Jeremy Hammond, via @FreeJeremyNet. Please follow them for updates. We talked to Jeremy before he left Alexandria,…",RayJoha2,"Arctic, North", update on jeremy hammond via please follow them for updates we talked to jeremy before he left alexandria
,"RT @Sphinx_Diff: I Know nothing wuld be done abt this,  because I am nt the son of a Governor or president or any politician. Bt I was brut…",DeeOne_dan,"Lagos, Nigeria", diff i know nothing wuld be done abt this because i am nt the son of a governor or president or any politician bt i was brut
,"Our village is lockdown ☺☺
Protect your self and other from corona 😷😷😷😷😷
#STAYHOMESTAYSAFE #COVID19 https://t.co/uJxXieAcZs",9872Sumit,,our village is lockdown protect your self and other from corona stayhomestaysafe covid
,"RT @StreetsblogUSA: No, you don't need to live alone on a big single family lot to  practice adequate social distancing — and in a lot of w…",Lydia_Beeyoobee,"Washington, DC/Virginia", no you don t need to live alone on a big single family lot to practice adequate social distancing and in a lot of w
,"RT @SkyNews: Welcome to NHS Nightingale: Inside the #coronavirus super-hospital.

Watch as a worker at the ExCel Centre reveals the scale o…",SandraHalifax,West Berkshire, welcome to nhs nightingale inside the coronavirus super hospital watch as a worker at the excel centre reveals the scale o
,RT @ABU_Campus: A group of well meaning individuals in Kaduna have come together to voluntarily distribute hand sanitizers and face masks 🎭…,Kamilu212,"Jigawa, Nigeria", campus a group of well meaning individuals in kaduna have come together to voluntarily distribute hand sanitizers and face masks
,"Lockdown is almost here. As the clock ticks down, we are all facing fears and anxieties - but it won't be forever.… https://t.co/ya2Ho4SbPx",Joburgcoza,"Johannesburg, South Africa",lockdown is almost here as the clock ticks down we are all facing fears and anxieties but it won t be forever
,"RT @tmprowell: HELP! I have a family member in Orange County, CA on a vent in critical condition for #COVID19. We are urgently seeking a pe…",Multijo1,"Ocean City, NJ", help i have a family member in orange county ca on a vent in critical condition for covid we are urgently seeking a pe
,"RT @DebjaniLaskar: When he shouted everybody ignored and mocked at him.
#Corona is a real threat for India and its economy.
He doesn't need…",SuchoritaSenPGF,, when he shouted everybody ignored and mocked at him corona is a real threat for india and its economy he doesn t need
,RT @FinMinIndia: Following are the highlights of a slew of relief measures related to statutory and regulatory compliance matters across se…,Jaison_K_James,Kerala, following are the highlights of a slew of relief measures related to statutory and regulatory compliance matters across se
,"RT @Thom_Langer: Today we discharged our 10th patient from our #COVID19 ICU!
It's a really tough time, but every patient we discharge gives…",loverandomieigh,Cloud 9 , langer today we discharged our th patient from our covid icu it s a really tough time but every patient we discharge gives
,"Pope asks God to stop the epidemic in Italy 'with his hand'.

as though God was waiting for one person to ask.… https://t.co/D7GDcnBFRp",sharmalife,"London, England",pope asks god to stop the epidemic in italy with his hand as though god was waiting for one person to ask
,"Clean out #coronavirus not #shelves via @BrandNewsToday 

#panishoppers #COVID19 #CoronaVirusUpdate https://t.co/aIhtAXns3N",gdt62,"Rome, Italy",clean out coronavirus not shelves via panishoppers covid coronavirusupdate
,"RT @vijayanpinarayi: No one will starve during this lockdown #COVID19 

Kerala has taken extensive measures to ensure that no one will star…",UsmanLiaquat9,, no one will starve during this lockdown covid kerala has taken extensive measures to ensure that no one will star
,"RT @verilylifesci: Verily is responding to the #COVID19 public health crisis, establishing a channel for risk screening and testing in coll…",Bhushan_NYC,"San Francisco, CA", verily is responding to the covid public health crisis establishing a channel for risk screening and testing in coll
,RT @firstdraftnews: .@bellingcat and @newsy team up to explain disinformation and categorize the kinds of lies that are being pushed about…,wildwalkerwoman,Great Whin Sill, and team up to explain disinformation and categorize the kinds of lies that are being pushed about
,RT @PiyushGoyal: Lifeline of India: Railways is dedicated to ensuring that essential goods reach all the citizens amidst #COVID19 lockdown.…,ABHISHEKYTkumar,"Jharkhand, India", lifeline of india railways is dedicated to ensuring that essential goods reach all the citizens amidst covid lockdown
,"RT @chidambara09: #Iran's
#coronavirus death toll 
tops 2,000, with 143 new fatalities 

https://t.co/0pTSRWOoJe 

#bigdata 
#healthCare
#W…",LlnuxBot,Raspberry Pi, iran s coronavirus death toll tops with new fatalities bigdata healthcare w
,"RT @PressTV: Timelapse video shows #Iran's army setting up 2000-bed hospital in #Tehran to treat #coronavirus patients.

#Covid19 https://t…",alirezakey1,Islamic Republic of Iran, timelapse video shows iran s army setting up bed hospital in tehran to treat coronavirus patients covid
,RT @ANI: Asking people to stay at home &amp; shutting down population movement is buying time &amp; reducing the pressure on health systems. But on…,sachin9856,"Bardoli, India", asking people to stay at home shutting down population movement is buying time reducing the pressure on health systems but on
,RT @tankengliang: Well done the new Fed Govt PM &amp; Ministers ....something which Penang DAP govt CM &amp; state EXCO should do follow before ask…,shhrrrkiddo,Tomorrow Land , well done the new fed govt pm ministers something which penang dap govt cm state exco should do follow before ask
,"RT @trustforlondon: 📢 We’ve pledged £500,000 to an emergency support fund to help community &amp; voluntary organisations in #London facing imm…",HelalUAbbas,"London, England", we ve pledged to an emergency suppo fund to help community voluntary organisations in london facing imm
,"RT @capt_amarinder: Assuring everyone, particularly the Doctors &amp; health staff that there is no shortage of medical supplies (right from te…",AdvaniLakshya,"Mumbai, India", amarinder assuring everyone paicularly the doctors health staff that there is no shoage of medical supplies right from te
,"RT @thelastanna: I am an emergency physician. My increased exposure means that I have chosen to isolate from my family, to keep them safe.…",kapsb2,, i am an emergency physician my increased exposure means that i have chosen to isolate from my family to keep them safe
,#Welfare #stuartrobertmp RIDES @MyGov #covid19 by @roweafr https://t.co/KOlEu3mSTX #auspol #Coronavirus #COVID19Au #StayAtHome #TheDrum,otiose94,Canberra,welfare stuarobemp rides covid by auspol coronavirus covid au stayathome thedrum
,"RT @Dave58535089: Okay if you see this, I'm giving out just  2 iPhone 11 pro max! What you have to do 👇
Like,follow, retweet this and comme…",_henrychris,Nigeria, okay if you see this i m giving out just iphone pro max what you have to do like follow retweet this and comme
,"RT @theOThub: ⚖️ In a time where we can ALL feel helpless, we should realise (and enact) this fundamental distinction! #COVID19 Credit: see…",HemaxiOT,"Nottingham, UK", in a time where we can all feel helpless we should realise and enact this fundamental distinction covid credit see
,"How Will the Coronavirus End? 

If you read one piece on #covid19 today, make it this.

From the brilliant ⁦… https://t.co/iYGEbXFZV2",RoughDraftJesse,Kentucky ,how will the coronavirus end if you read one piece on covid today make it this from the brilliant
,"Thailand has suffered four deaths in the #COVID19 pandemic so far.

https://t.co/UoTIzpxb0K",IndiaToday,India,thailand has suffered four deaths in the covid pandemic so far
,"RT @AllianceBE: Ridiculous.

As we try to help our SMEs at a time of national crisis with #COVID19 the #EU insist they must be able to revi…",Damonxv1,, ridiculous as we try to help our smes at a time of national crisis with covid the eu insist they must be able to revi
,#StayHomeBands #How Will the Coronavirus E #JOOPOCALYPSE #AEWDynamite   #JooheonIsBack  #BerryNice… https://t.co/FLoBSJQOwI,ZKerwinzhang,,stayhomebands how will the coronavirus e joopocalypse aewdynamite jooheonisback berrynice
,"RT @iamkarendavila: To those asking, YES - you could be #covid19 positive without knowing. So the simple rule is - if you’re a PUI, PUM or…",Awesram,Republic of the Philippines, to those asking yes you could be covid positive without knowing so the simple rule is if you re a pui pum or
,"RT @denijeg: In times of #Covid19, the Orientalist has to market his message by appealing to an audience that wants to read about an epidem…",mcdee_andy,, in times of covid the orientalist has to market his message by appealing to an audience that wants to read about an epidem
,RT @ANCALERTS: Lawyer Rico Quicho tells ABS-CBN that he and 9 other lawyers now preparing criminal case vs Sen. @SenKokoPimentel for violat…,zljsp,otep, lawyer rico quicho tells abs cbn that he and other lawyers now preparing criminal case vs sen for violat
,RT @IamPistis: Staying Fit has been proved to also boost our immune systems. So here's my bit you help you keep fit right from the comfort…,Mensaa23,"Accra, Ghana", staying fit has been proved to also boost our immune systems so here s my bit you help you keep fit right from the comfo
,RT @Victori35649773: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashAp…,Jas94602177,, due to covid aka coronavirus ill be sending the first people to like retweet this through cashap
,"RT @maldivianrc: Thank you HEP @ibusolih for the kind words of encouragement &amp; appreciation, during the visit to MRC Psychosocial Support C…",alihadhugehoo,Male, thank you hep for the kind words of encouragement appreciation during the visit to mrc psychosocial suppo c
,"RT @PrestonTVNews: While California Governor Gavin Newsom @GavinNewsom issues statewide “stay at home” order for 40M Californians, people a…",movie_gal_10,"Las Vegas, NV", while california governor gavin newsom issues statewide stay at home order for m californians people a
