geo,tweet,user_handle,location,cleaned_tweets
,RT @ANI: Punjab CM Captain Amarinder Singh has sought a comprehensive economic package from the Centre to mitigate the hardship resulting f…,suryalisestoon,"Chennai, India", punjab cm captain amarinder singh has sought a comprehensive economic package from the centre to mitigate the hardship resulting f
,"RT @COVIDNearYou: Excited to announce that we have launched COVID Near You, a community-based surveillance system to track #COVID19. Help u…",pascod1997,"Ohio, USA", excited to announce that we have launched covid near you a community based surveillance system to track covid help u
,"RT @Sanity_3: This #Corona is going to teach us a lot of things
- wasting 2-3 hours in commute to work is absolutely unnecessary
- you can…",SurbhiBhadauria,Delhi, this corona is going to teach us a lot of things wasting hours in commute to work is absolutely unnecessary you can
,RT @SallyDeal4: Public-health experts including Dr. Anthony #Fauci are warning Trump officials against sending Americans back to work to re…,angie_jones0416, Texas, public health expes including dr anthony fauci are warning trump officials against sending americans back to work to re
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",janpfetzer,, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @katrina_wiser: MSNBC openly admits the truth

It’s all about POLITICAL LEVERAGE!

The Green New Deal, student debt, vote-by-mail have n…",m27731630,, wiser msnbc openly admits the truth it s all about political leverage the green new deal student debt vote by mail have n
,RT @visualplague: Very happy to have contributed to @nytimes article by @VVFriedman on masks and #COVID19 #coronavirus  - an in-depth look…,baronelawco,Palm Beach, very happy to have contributed to aicle by on masks and covid coronavirus an in depth look
,"RT @vijayanpinarayi: Explaining #COVID19 To Children 

It's important children understand the risks. But don't instill fear. 

🚸 Ensure the…",Breezebabu,Chennai , explaining covid to children it s impoant children understand the risks but don t instill fear ensure the
,"RT @brianchiong: One of my coworkers died today from #COVID19. Not much older, great guy. We were just sitting together a couple weeks ago,…",_elitl,"Houston, TX", one of my coworkers died today from covid not much older great guy we were just sitting together a couple weeks ago
,"RT @meothmans: Say ALHAMDULILLAH if you’ve waken up healthy, having no sign/symptom of #covid19. 

May Allah ease the sufferings of those t…",ruqqybabz,, say alhamdulillah if you ve waken up healthy having no sign symptom of covid may allah ease the sufferings of those t
,RT @tedlieu: The stock market and economy started crashing well before governments implemented stay at home orders. Why? It’s the #coronavi…,rthornton777,"Darujhistan, Genabackis", the stock market and economy staed crashing well before governments implemented stay at home orders why it s the coronavi
,"Stay safe, stay at home ! 

#StayHomeStaySafe #COVID2019 #Corona #StaySafe #tea https://t.co/dI5YZE21WP",TRATocklai,Kolkata,stay safe stay at home stayhomestaysafe covid corona staysafe tea
,"RT @sgdambrauskas: Why Italy? 🇮🇹

Very interesting analysis in @JAMA_current 

Some hypothesis for such a high fatality rates

@LaCampo4 #C…",Milligw,México, why italy very interesting analysis in current some hypothesis for such a high fatality rates c
,RT @cnnphilippines: WATCH: A Filipino community leader in Italy asks for government's help to extend assistance to OFWs affected by the #CO…,WillyGaleon,, watch a filipino community leader in italy asks for government s help to extend assistance to ofws affected by the co
,"RT @michaelmina_lab: FYI. This article headline is wrong. 

CDC is NOT saying #COVID19 virus survives &gt;17 days on surface. 

Just that the…",nwchap,"San Francisco, California", lab fyi this aicle headline is wrong cdc is not saying covid virus survives days on surface just that the
,#COVID19 #coronavirus Treatments that may treat Corona. https://t.co/bQVyy6wXLS,greatvedanti,"Dubai/Jammu, Jammu And Kashmir",covid coronavirus treatments that may treat corona
,"@ObataZik @Eddie_GreeneArt @BurnaBoySource @burnaboy @MannyNorte @stefflondon Please retweet🙏🏽
I am the artist… https://t.co/VK5bpguvo4",ETheGreat4,,greenea please retweet i am the aist
,"RT @MianoJN: #COVID19 is a sad reality. Lets follow government's directive of social distancing and  hand hygiene.
As much as the country i…",Didacus_Jr,"Nairobi, Kenya", covid is a sad reality lets follow government s directive of social distancing and hand hygiene as much as the country i
,"RT @NCDCgov: Four new cases of #COVID19 have been confirmed in Nigeria. 3 are in Lagos State and 1 in FCT

Two of these cases are returning…",OluJokotade,Nigeria, four new cases of covid have been confirmed in nigeria are in lagos state and in fct two of these cases are returning
,RT @ABSCBNNews: JUST IN: Philippine Heart Association’s former president Dr. Raul Jara passed away after losing the battle against #COVID19…,taboybhel,Repubic of the Philippines, just in philippine hea association s former president dr raul jara passed away after losing the battle against covid
,"RT @WilsonLeungWS: ""But as [China] returns to work, residents and analysts doubt the near-zero community transmission rate, worrying that l…",Njola_Van,Vancouver / Hong Kong, but as china returns to work residents and analysts doubt the near zero community transmission rate worrying that l
,"RT @dochelmy: ‘Make no mistake, we are at war. The time for decisive action is now.’

My friends @RealArifAstaman @nadsjalil &amp; I in @staron…",janeduasing,Malaysia, make no mistake we are at war the time for decisive action is now my friends i in
,"THIS is why we need to #StayAtHome 
#COVID19 https://t.co/RHXtGNvo85",Shaun_Dunlop,Gateshead,this is why we need to stayathome covid
,RT @State_SCA: Inspiring to see people across #India coming together despite being physically apart to applaud workers on the frontlines co…,srishti7,, sca inspiring to see people across india coming together despite being physically apa to applaud workers on the frontlines co
,"RT @antonioguterres: #COVID19 does not care about nationality or ethnicity, faction or faith. It attacks all, relentlessly.

Meanwhile, arm…",Gleb91974290,, covid does not care about nationality or ethnicity faction or faith it attacks all relentlessly meanwhile arm
